
04/17/2022-15:46:59,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
04/17/2022-15:47:00,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
04/17/2022-15:48:52,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
04/17/2022-15:48:53,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier%20220417_160533,04/17/2022-16:05:38,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier%20220417_160533,04/17/2022-16:05:39,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier_20220417_161441,04/17/2022-16:14:46,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_161536,04/17/2022-16:15:40,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_161950,04/17/2022-16:19:54,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_161950,04/17/2022-16:19:54,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier_20220417_212306,04/17/2022-21:23:17,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_212306,04/17/2022-21:23:18,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier_20220417_213654,04/17/2022-21:37:06,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_214043,04/17/2022-21:40:55,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_214043,04/17/2022-21:40:56,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier_20220417_220853,04/17/2022-22:09:05,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_220853,04/17/2022-22:09:06,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier_20220417_221354,04/17/2022-22:14:03,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_221354,04/17/2022-22:14:04,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Carrier_20220417_221540,04/17/2022-22:15:50,ETL-Carrier,read,C:\demo\capstone\raw\carriers.csv,2,1491
ETL-Carrier_20220417_221540,04/17/2022-22:15:50,ETL-Carrier,write,C:\demo\capstone\processed\carriers,2,1491
ETL-Plane_20220417_225409,04/17/2022-22:54:19,ETL-Plane,read,C:\demo\capstone\raw\Planes.csv,9,5029
ETL-Plane_20220422_121700,04/22/2022-12:17:04,ETL-Plane,read,C:\demo\capstone\raw\plane.csv,9,5029
ETL-Plane_20220422_121700,04/22/2022-12:17:06,ETL-Plane,write,C:\demo\capstone\processed\plane,9,4480
ETL-Carrier_20220422_121706,04/22/2022-12:17:06,ETL-Carrier,read,C:\demo\capstone\raw\carrier.csv,2,1491
ETL-Carrier_20220422_121706,04/22/2022-12:17:06,ETL-Carrier,write,C:\demo\capstone\processed\carrier.csv,2,1491
ETL-Airport_20220422_121706,04/22/2022-12:17:06,ETL-Airport,read,C:\demo\capstone\raw\airport.csv,7,3376
ETL-Plane_20220422_121840,04/22/2022-12:18:44,ETL-Plane,read,C:\demo\capstone\raw\plane.csv,9,5029
ETL-Plane_20220422_121840,04/22/2022-12:18:44,ETL-Plane,write,C:\demo\capstone\processed\plane,9,4480
ETL-Carrier_20220422_121844,04/22/2022-12:18:45,ETL-Carrier,read,C:\demo\capstone\raw\carrier.csv,2,1491
ETL-Carrier_20220422_121844,04/22/2022-12:18:45,ETL-Carrier,write,C:\demo\capstone\processed\carrier.csv,2,1491
ETL-Airport_20220422_121845,04/22/2022-12:18:45,ETL-Airport,read,C:\demo\capstone\raw\airport.csv,7,3376
ETL-Plane_20220422_121948,04/22/2022-12:19:52,ETL-Plane,read,C:\demo\capstone\raw\plane.csv,9,5029
ETL-Plane_20220422_121948,04/22/2022-12:19:53,ETL-Plane,write,C:\demo\capstone\processed\plane,9,4480
ETL-Carrier_20220422_121953,04/22/2022-12:19:53,ETL-Carrier,read,C:\demo\capstone\raw\carrier.csv,2,1491
ETL-Carrier_20220422_121953,04/22/2022-12:19:53,ETL-Carrier,write,C:\demo\capstone\processed\carrier.csv,2,1491
ETL-Airport_20220422_121953,04/22/2022-12:19:53,ETL-Airport,read,C:\demo\capstone\raw\airport.csv,7,3376
ETL-Airport_20220422_121953,04/22/2022-12:19:54,ETL-Airport,write,C:\demo\capstone\processed\airport,8,3376
ETL-Flight_20220422_121954,04/22/2022-12:19:58,ETL-Flight,read,C:\demo\capstone\raw\2008.csv.bz2,29,2389217
ETL-Flight_20220422_121954,04/22/2022-12:20:23,ETL-Flight,write,C:\demo\capstone\processed\flight,30,2319121
2022-04-22_12:24:36,04/22/2022-12:38:22,Intgr-Create-stg_flight,read,C:\demo\capstone\processed\flight,30,2319121
2022-04-22_12:38:24,04/22/2022-12:38:24,Intgr-Create-stg_flight,write,C:\demo\capstone\integrated\stg_flight_detail,33,2319121
2022-04-22_12:56:22,04/22/2022-12:56:23,Intgr-Create-stg_flight,read,C:\demo\capstone\processed\flight,30,2319121
2022-04-22_12:56:33,04/22/2022-12:56:34,Intgr-Create-stg_flight,write,C:\demo\capstone\integrated\stg_flight_detail,33,2319121
2022-04-22_14:24:28,04/22/2022-14:24:30,Intgr-Create-dim_origin_dest,write,C:\demo\capstone\integrated\dim_origin_dest,12,4839
2022-04-22_14:24:32,04/22/2022-14:24:34,Intgr-Create-dim_date,write,C:\demo\capstone\integrated\dim_date,6,121
2022-04-22_14:25:20,04/22/2022-14:25:22,Intgr-Create-stg_flight,read,C:\demo\capstone\processed\flight,30,2319121
2022-04-22_14:25:34,04/22/2022-14:25:35,Intgr-Create-stg_flight,write,C:\demo\capstone\integrated\stg_flight_detail,33,2319121
2022-04-22_14:25:39,04/22/2022-14:25:41,Intgr-Create-dim_origin_dest,write,C:\demo\capstone\integrated\dim_origin_dest,12,4839
2022-04-22_14:25:43,04/22/2022-14:25:44,Intgr-Create-dim_date,write,C:\demo\capstone\integrated\dim_date,6,121
2022-04-22_14:25:50,04/22/2022-14:25:50,Intgr-Create-fact_flight,write,C:\demo\capstone\integrated\fact_flight,19,2319121
